# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       8.881759324197e+13       9.581596475115e-26       5.218680598773e-09       1.701993912686e+22       1.375807360459e+04       1.549025716911e-10       1.221958985206e+18       3.012869845473e-09       1.712281144399e+44       1.765268046575e+33       9.880748796868e+33       3.940039909853e+43       1.313346636618e+43       7.904981433208e+43       2.896783278822e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -3.486430168166e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.338152221868e-06       8.432738915079e+00 
       8.820019189868e+13       9.716208323993e-26       5.255060386844e-09       1.678413876141e+22       1.375807360459e+04       1.559868896929e-10       1.213464732082e+18       3.033959934391e-09       1.665164686165e+44       1.728710414492e+33       9.676124473712e+33       3.831622710690e+43       1.277207570230e+43       7.687461822740e+43       2.817073139622e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -3.710949095296e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.416867058448e-06       7.964253419796e+00 
       8.758708232243e+13       9.852711334737e-26       5.291440174915e-09       1.655160525913e+22       1.375807360459e+04       1.570787979208e-10       1.205029525404e+18       3.055197653932e-09       1.619344721000e+44       1.692909868828e+33       9.475737796354e+33       3.726188803409e+43       1.242062934470e+43       7.475927650864e+43       2.739556366539e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -3.938126899563e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.495581895029e-06       7.545082187175e+00 
       8.697823467967e+13       9.991132076278e-26       5.329638952389e-09       1.632229335972e+22       1.375807360459e+04       1.581783495062e-10       1.196652954721e+18       3.076584037509e-09       1.574785573594e+44       1.657850730781e+33       9.279501005718e+33       3.623656097432e+43       1.207885365811e+43       7.270214217602e+43       2.664172605207e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -4.168048752318e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.574296731609e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149749082e-25       5.366018740460e-09       1.609615842994e+22       1.375807360459e+04       1.592855979528e-10       1.188334612434e+18       3.098120125772e-09       1.531452550306e+44       1.623517646249e+33       9.087328160161e+33       3.523944761049e+43       1.174648253683e+43       7.070161354987e+43       2.590863162016e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -4.400801225074e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.653011568189e-06       6.826502931253e+00 
       8.577320689599e+13       1.027383489907e-25       5.404217517935e-09       1.587315645490e+22       1.375807360459e+04       1.604005971384e-10       1.180074093777e+18       3.119806966652e-09       1.489311912151e+44       1.589895579104e+33       8.899135097844e+33       3.426977159264e+43       1.142325719755e+43       6.875613302360e+43       2.519570958419e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -4.636472324667e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.731726404770e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817200556e-25       5.440597306006e-09       1.565324402954e+22       1.375807360459e+04       1.615234013184e-10       1.171870996800e+18       3.141645615418e-09       1.448330848536e+44       1.556969804605e+33       8.714839399865e+33       3.332677793344e+43       1.110892597781e+43       6.686418585093e+43       2.450240486482e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -4.875151529087e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.810441241350e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453690407e-25       5.478796083480e-09       1.543637835010e+22       1.375807360459e+04       1.626540651276e-10       1.163724922343e+18       3.163637134726e-09       1.408477451704e+44       1.524725902954e+33       8.534360354170e+33       3.240973242037e+43       1.080324414012e+43       6.502429896651e+43       2.382817765674e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -5.116929823995e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.889156077930e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295808303e-25       5.518813850358e-09       1.522251720587e+22       1.375807360459e+04       1.637926435835e-10       1.155635474025e+18       3.185782594669e-09       1.369720691902e+44       1.493149752978e+33       8.357618920201e+33       3.151792104408e+43       1.050597368136e+43       6.323503983900e+43       2.317250300831e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -5.361899739932e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       1.967870914511e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346443114e-25       5.557012627833e-09       1.501161897095e+22       1.375807360459e+04       1.649391920886e-10       1.147602258217e+18       3.208083072832e-09       1.332030393213e+44       1.462227525943e+33       8.184537694283e+33       3.065064944248e+43       1.021688314749e+43       6.149501535572e+43       2.253487041291e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -5.610155390243e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.046585751091e-06       5.513713906011e+00 
